Genus,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz
Geobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Turbabacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbya_ANT.L67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaeodactylibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erwinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syntrophobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iamia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTBCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Modicisalibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Hepatincola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Amoebophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1A02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coxiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysgonomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyloglobulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jatrophihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Competibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loktanella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Alkalimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aridibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiroplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebaldella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosenzaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignavibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix_PCC-6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortiea_PCC-7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smithella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromatocurvus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piscinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowella_0TU37S04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloronema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Berkiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Solibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucilaginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sh765B-TzT-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tepidicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syntrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breznakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Endoecteinascidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-73102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerospermopsis_BCCUSP55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FukuN18_freshwater_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramlibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sva0996_marine_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Protochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xenohaliotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingoaurantiacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subgroup_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ga0074140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamptonema_PCC-6407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix_KVSF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohtaekwangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminiclostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Ovatusbacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christensenellaceae_R-7_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichodesmium_IMS101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parablastomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_UCG-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbinix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2PT2-76_termite_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogenispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Marithioploca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facklamia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Rubidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kineosporia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wandonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporomusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beggiatoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudenhygromyxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphanizomenon_MDT14a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulgatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elusimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA-900066225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolbachia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flectobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL500-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syntrophorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Arthromitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkanindiges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Endomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parachlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fonticella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rickettsia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synechococcus_MBIC10613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asaccharospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminiclostridium_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycoplana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinneretia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinirepens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spongiivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spongiimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Limnoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cereibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena_BECID22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fimbriiglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Flaviluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongoliicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quatrionicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Paceibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylovorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodocyclus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nannocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquincola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOUTB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBZC-1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
