Sample,Abundance,Location,Genus
NP-014-520-715-1F_filt.fastq.gz,0.372468884,Cranberry NP,Plesiomonas
NP-014-520-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-015-521-715-1F_filt.fastq.gz,0.499558174,Cranberry NP,Aeromonas
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-015-521-715-1F_filt.fastq.gz,0.307707413,Cranberry NP,Cetobacterium
NP-015-521-715-1F_filt.fastq.gz,0.015905744,Cranberry NP,Clostridium_sensu_stricto_1
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-015-521-715-1F_filt.fastq.gz,0.17682867,Cranberry NP,Plesiomonas
NP-015-521-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-017-502-715-1F_filt.fastq.gz,0.02969997,Cranberry NP,Aeromonas
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-017-502-715-1F_filt.fastq.gz,0.805434892,Cranberry NP,Cetobacterium
NP-017-502-715-1F_filt.fastq.gz,0.032225477,Cranberry NP,Clostridium_sensu_stricto_1
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-017-502-715-1F_filt.fastq.gz,0.132639661,Cranberry NP,Plesiomonas
NP-017-502-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-018-503-715-1F_filt.fastq.gz,0.00039557,Cranberry NP,Aeromonas
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-018-503-715-1F_filt.fastq.gz,0.967662184,Cranberry NP,Cetobacterium
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Clostridium_sensu_stricto_1
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-018-503-715-1F_filt.fastq.gz,0.008603639,Cranberry NP,hgcI_clade
NP-018-503-715-1F_filt.fastq.gz,0.023338608,Cranberry NP,Limnohabitans
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Plesiomonas
NP-018-503-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-019-505-715-1F_filt.fastq.gz,0.147058824,Cranberry NP,Aeromonas
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-019-505-715-1F_filt.fastq.gz,0.147058824,Cranberry NP,Cetobacterium
NP-019-505-715-1F_filt.fastq.gz,0.705882353,Cranberry NP,Clostridium_sensu_stricto_1
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Plesiomonas
NP-019-505-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-022-508-715-1F_filt.fastq.gz,0.001149293,Cranberry NP,Aeromonas
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-022-508-715-1F_filt.fastq.gz,0.011148144,Cranberry NP,Cetobacterium
NP-022-508-715-1F_filt.fastq.gz,0.180553959,Cranberry NP,Clostridium_sensu_stricto_1
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-022-508-715-1F_filt.fastq.gz,0.807148604,Cranberry NP,Plesiomonas
NP-022-508-715-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-025-513-716-1F_filt.fastq.gz,0.01402221,Cranberry NP,Aeromonas
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-025-513-716-1F_filt.fastq.gz,0.54046678,Cranberry NP,Cetobacterium
NP-025-513-716-1F_filt.fastq.gz,0.060511952,Cranberry NP,Clostridium_sensu_stricto_1
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-025-513-716-1F_filt.fastq.gz,0.384999059,Cranberry NP,Plesiomonas
NP-025-513-716-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-026-515-716-1F_filt.fastq.gz,0.034927719,Cranberry NP,Aeromonas
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-026-515-716-1F_filt.fastq.gz,0.82371204,Cranberry NP,Cetobacterium
NP-026-515-716-1F_filt.fastq.gz,0.003298729,Cranberry NP,Clostridium_sensu_stricto_1
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-026-515-716-1F_filt.fastq.gz,0.138061512,Cranberry NP,Plesiomonas
NP-026-515-716-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-027-516-716-1F_filt.fastq.gz,0.713765182,Cranberry NP,Aeromonas
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-027-516-716-1F_filt.fastq.gz,0.227834008,Cranberry NP,Cetobacterium
NP-027-516-716-1F_filt.fastq.gz,0.028643725,Cranberry NP,Clostridium_sensu_stricto_1
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-027-516-716-1F_filt.fastq.gz,0.029757085,Cranberry NP,Plesiomonas
NP-027-516-716-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-028-517-716-1F_filt.fastq.gz,0.090320192,French Creek NP,Aeromonas
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Brevinema
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Cetobacterium
NP-028-517-716-1F_filt.fastq.gz,0.807144179,French Creek NP,Clostridium_sensu_stricto_1
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-028-517-716-1F_filt.fastq.gz,0.102535628,French Creek NP,Plesiomonas
NP-028-517-716-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-029-518-716-1F_filt.fastq.gz,0.154049628,French Creek NP,Aeromonas
NP-029-518-716-1F_filt.fastq.gz,0.475500693,French Creek NP,Brevinema
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,Cetobacterium
NP-029-518-716-1F_filt.fastq.gz,0.161733216,French Creek NP,Clostridium_sensu_stricto_1
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-029-518-716-1F_filt.fastq.gz,0.208716463,French Creek NP,Plesiomonas
NP-029-518-716-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-034-503-718-1F_filt.fastq.gz,0.164378409,Cranberry NP,Aeromonas
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-034-503-718-1F_filt.fastq.gz,0.643690051,Cranberry NP,Cetobacterium
NP-034-503-718-1F_filt.fastq.gz,0.001974798,Cranberry NP,Clostridium_sensu_stricto_1
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-034-503-718-1F_filt.fastq.gz,0.189956743,Cranberry NP,Plesiomonas
NP-034-503-718-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-035-505-718-1F_filt.fastq.gz,0.021288579,Cranberry NP,Aeromonas
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,Brevinema
NP-035-505-718-1F_filt.fastq.gz,0.381392205,Cranberry NP,Cetobacterium
NP-035-505-718-1F_filt.fastq.gz,0.214462717,Cranberry NP,Clostridium_sensu_stricto_1
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,Flavobacterium
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,Fluviicola
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,hgcI_clade
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,Limnohabitans
NP-035-505-718-1F_filt.fastq.gz,0.382856499,Cranberry NP,Plesiomonas
NP-035-505-718-1F_filt.fastq.gz,0,Cranberry NP,Pseudarcicella
NP-036-506-718-1F_filt.fastq.gz,0.645646642,French Creek NP,Aeromonas
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Brevinema
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Cetobacterium
NP-036-506-718-1F_filt.fastq.gz,0.302909614,French Creek NP,Clostridium_sensu_stricto_1
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-036-506-718-1F_filt.fastq.gz,0.051443744,French Creek NP,Plesiomonas
NP-036-506-718-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
NP-037-507-718-1F_filt.fastq.gz,0.00230484,French Creek NP,Aeromonas
NP-037-507-718-1F_filt.fastq.gz,0.973444233,French Creek NP,Brevinema
NP-037-507-718-1F_filt.fastq.gz,0.02264756,French Creek NP,Cetobacterium
NP-037-507-718-1F_filt.fastq.gz,0.001503157,French Creek NP,Clostridium_sensu_stricto_1
NP-037-507-718-1F_filt.fastq.gz,0,French Creek NP,Flavobacterium
NP-037-507-718-1F_filt.fastq.gz,0,French Creek NP,Fluviicola
NP-037-507-718-1F_filt.fastq.gz,0,French Creek NP,hgcI_clade
NP-037-507-718-1F_filt.fastq.gz,0,French Creek NP,Limnohabitans
NP-037-507-718-1F_filt.fastq.gz,0.00010021,French Creek NP,Plesiomonas
NP-037-507-718-1F_filt.fastq.gz,0,French Creek NP,Pseudarcicella
